ID,Keyword,Cluster,Search Intent,Estimated Difficulty,Business Value,Priority Score,Recommended Page Type,Primary Funnel Stage,Notes
251,IT consultant for real estate Cambodia,General IT consulting,Local/Transactional,28,5,100,Location landing page,Decision,local industry
252,IT consultant for real estate Hanoi,General IT consulting,Local/Transactional,28,5,100,Location landing page,Decision,local industry
253,IT consultant for real estate Ho Chi Minh City,General IT consulting,Local/Transactional,28,5,100,Location landing page,Decision,local industry
254,IT consultant for real estate Indonesia,General IT consulting,Local/Transactional,28,5,100,Location landing page,Decision,local industry
255,IT consultant for real estate Malaysia,General IT consulting,Local/Transactional,28,5,100,Location landing page,Decision,local industry
256,IT consultant for real estate Philippines,General IT consulting,Local/Transactional,28,5,100,Location landing page,Decision,local industry
257,IT consultant for real estate Thailand,AI automation and agents,Local/Transactional,28,5,100,Location landing page,Decision,local industry
258,IT consultant for real estate Vietnam,General IT consulting,Local/Transactional,28,5,100,Location landing page,Decision,local industry
259,IT consultant for retail Ho Chi Minh City,AI automation and agents,Local/Transactional,28,5,100,Location landing page,Decision,local industry
260,IT consultant for SaaS Ho Chi Minh City,General IT consulting,Local/Transactional,28,5,100,Location landing page,Decision,local industry
261,IT consultant for telecom Ho Chi Minh City,General IT consulting,Local/Transactional,28,5,100,Location landing page,Decision,local industry
262,IT helpdesk consulting company Ho Chi Minh City,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
263,IT helpdesk consulting consultant Ho Chi Minh City,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
264,IT helpdesk consulting for travel company,ITSM and ITIL authority,Transactional,28,5,100,Service or landing page,Decision,service x industry
265,IT operations consulting company Ho Chi Minh City,General IT consulting,Local/Transactional,28,5,100,Location landing page,Decision,service x location
266,IT operations consulting consultant Ho Chi Minh City,General IT consulting,Local/Transactional,28,5,100,Location landing page,Decision,service x location
267,IT operations consulting for travel company,General IT consulting,Transactional,28,5,100,Service or landing page,Decision,service x industry
268,IT service management consulting company Cambodia,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
269,IT service management consulting company Hanoi,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
270,IT service management consulting company Ho Chi Minh City,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
271,IT service management consulting company Indonesia,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
272,IT service management consulting company Malaysia,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
273,IT service management consulting company Philippines,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
274,IT service management consulting company Thailand,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
275,IT service management consulting company Vietnam,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
276,IT service management consulting consultant Cambodia,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
277,IT service management consulting consultant Hanoi,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
278,IT service management consulting consultant Ho Chi Minh City,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
279,IT service management consulting consultant Indonesia,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
280,IT service management consulting consultant Malaysia,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
281,IT service management consulting consultant Philippines,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
282,IT service management consulting consultant Thailand,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
283,IT service management consulting consultant Vietnam,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
284,IT service management consulting for travel company,ITSM and ITIL authority,Transactional,28,5,100,Service or landing page,Decision,service x industry
285,ITIL consulting company Ho Chi Minh City,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
286,ITIL consulting consultant Ho Chi Minh City,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
287,ITSM consulting company Ho Chi Minh City,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
288,ITSM consulting consultant Ho Chi Minh City,ITSM and ITIL authority,Local/Transactional,28,5,100,Location landing page,Decision,service x location
289,Jira Service Management admin support consultant,ITSM tools and migrations,Transactional,28,5,100,Service or landing page,Decision,tool action
290,Jira Service Management CMDB setup consultant,ITSM tools and migrations,Transactional,28,5,100,Service or landing page,Decision,tool action
291,Jira Service Management cost comparison consultant,ITSM tools and migrations,Transactional,28,5,100,Comparison page,Decision,tool action
292,Jira Service Management knowledge base setup consultant,ITSM tools and migrations,Transactional,28,5,100,Service or landing page,Decision,tool action
293,Jira Service Management managed support consultant,ITSM tools and migrations,Transactional,28,5,100,Service or landing page,Decision,tool action
294,Jira Service Management service catalog setup consultant,ITSM tools and migrations,Transactional,28,5,100,Service or landing page,Decision,tool action
295,Jira Service Management SLA setup consultant,ITSM tools and migrations,Transactional,28,5,100,Service or landing page,Decision,tool action
296,Jira Service Management vs Freshservice consultant,ITSM tools and migrations,Transactional,28,5,100,Comparison page,Decision,tool action
297,Jira Service Management workflow automation consultant,ITSM tools and migrations,Transactional,28,5,100,Service or landing page,Decision,tool action
